N,topic,malfunction,cause,elimination
1,Дизель,"При включении виртуального тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.",Перегорел предохранитель ПР-5 (вставка 25 А).,Необходимо заменить плавкую вставку 25 А.
1,Дизель,"При включении виртуального тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.",Неисправен электродвигатель. Заклинило топливную помпу. Разрушение упругого элемента соединительной муфты.,Запустить дизель без предварительной прокачки топлива.
2,Дизель,При включении топливоподкачивающего агрегата отсутствует давление топлива или давление топлива нестабильное (менее 1 кгс/см2).,Попадание воздуха в топливную систему.,"При работающем топливоподкачивающем насосе открыть вентиль стравливания воздуха из топливного коллектора дизеля до появления стабильного давления топлива. Для ускорения прокачки приоткрыть вентили продувочные на крышках фильтра тонкой очистки топлива, выпустить воздух."
3,Дизель,Топливный насос дизеля и топливоподкачивающий агрегат создают повышенное давление топлива (8-10 кгс/см2),Ошибочно одновременно перекрыты краны на подогреватель топлива и байпасный кран N 26 на магистрали обратного топлива.,Открыть краны подвода и отвода топлива от подогревателя в зимнее время или байпасный кран N 26 в летнее время.
4,Дизель,При пуске коленчатый вал дизеля не вращается.,Включен валоповоротный механизм.,Отключить валоповоротный механизм.
4,Дизель,При пуске коленчатый вал дизеля не вращается.,Неисправен концевой выключатель валоповоротного механизма.,Отремонтировать концевой выключатель
5,Дизель,"При пуске коленчатый вал вращается нормально, вал исполнительного механизма регулятора поворачивается на увеличение подачи топлива, но при этом рейки всех топливных насосов не передвигаются.",Заклинивание или задир плунжерной пары у одного или нескольких насосов.,"Отключить неисправный ТНВД, но не более двух."
5,Дизель,"При пуске коленчатый вал вращается нормально, вал исполнительного механизма регулятора поворачивается на увеличение подачи топлива, но при этом рейки всех топливных насосов не передвигаются.",Не приведен в рабочее положение предельный выключатель.,Необходимо привести в рабочее положение предельный выключатель.
5,Дизель,"При пуске коленчатый вал вращается нормально, вал исполнительного механизма регулятора поворачивается на увеличение подачи топлива, но при этом рейки всех топливных насосов не передвигаются.",Воздушная захлопка перекрывает проход воздуха в цилиндры дизеля.,Необходимо привести механизм воздушной захлопки в рабочее положение.
6,Дизель,"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает.",Не включился контактор КМН,"Необходимо визуально осмотреть контактор на предмет термического повреждения, при возможности устранить неисправность."
