N,topic,malfunction,cause,elimination
1,"Аварийная остановка тепловоза, наличие сигнала о нажатой кнопке ""Аварийный стоп"" в УОИ*","Остановка дизеля, включение предельника, срыв ЭПК, включение пескоподачи, тифона.
(Аварийный останов тепловоза)",Кнопка нажата,"Восстановить кнопку ""Аварийный стоп""."
1,"Аварийная остановка тепловоза, наличие сигнала о нажатой кнопке ""Аварийный стоп"" в УОИ*","Остановка дизеля, включение предельника, срыв ЭПК, включение пескоподачи, тифона.
(Аварийный останов тепловоза)","Кнопка не нажата, нет +110В или обрыв провода от кнопки к УОИ или неисправность платы БОДД(ПВДД) УОИ","Проверить состояние контактной группы кнопки ""Аварийный стоп""."
2,"Неисправность режима ""Автопрогрев"", автоматически не запустился дизель","Отключение режима ""Автопрогрев""
(АВАРИЯ АВТОПРОГРЕВ)",Не выполнены все условия для запуска дизеля,Определить причину отсутствия запуска дизеля.
2,"Неисправность режима ""Автопрогрев"", автоматически не запустился дизель","Отключение режима ""Автопрогрев""
(АВАРИЯ АВТОПРОГРЕВ)",Неисправность дизеля или системы впрыска,Определить причину отсутствия запуска дизеля.
3,"Авария регулятора напряжения, Наличие в УОИ сигнала об аварии регулятора напряжения стартер-генератора (РНВГ)","Отсутствие зарядки АБ
(Авария регулятора напряжения)",Произошла авария РНВГ,Проверить автомат на блоке РНВГ. Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители. При возможности заменить на резервный РНВГ.
3,"Авария регулятора напряжения, Наличие в УОИ сигнала об аварии регулятора напряжения стартер-генератора (РНВГ)","Отсутствие зарядки АБ
(Авария регулятора напряжения)",Нет +110В от РНВГ к УОИ,Проверить автомат на блоке РНВГ. Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители. При возможности заменить на резервный РНВГ.
3,"Авария регулятора напряжения, Наличие в УОИ сигнала об аварии регулятора напряжения стартер-генератора (РНВГ)","Отсутствие зарядки АБ
(Авария регулятора напряжения)",Неисправность платы БОДД (ПВДД) УОИ,Проверить автомат на блоке РНВГ. Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители. При возможности заменить на резервный РНВГ.
4,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения ВТПП,"Снятие/запрет возбуждения тягового агрегата (ТА)
(Блокировка двери ВТПП)",Двери открыты.,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
4,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения ВТПП,"Снятие/запрет возбуждения тягового агрегата (ТА)
(Блокировка двери ВТПП)",Неисправность концевых выключателей дверей.,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
4,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения ВТПП,"Снятие/запрет возбуждения тягового агрегата (ТА)
(Блокировка двери ВТПП)",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
4,Отсутствие в УОИ сигнала о закрытой двери блока возбуждения ВТПП,"Снятие/запрет возбуждения тягового агрегата (ТА)
(Блокировка двери ВТПП)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей."
5,"Блокировка жалюзи ЭДТ, отсутствие в УОИ сигнала об открытых жалюзи","Разбор схемы ЭДТ и включение режима ""Замещение"" или разбор тяги при нагрузке на тормозные резисторы
(Блокировка жалюзи ЭДТ)",Жалюзи закрыты,"Проверить состояние жалюзи блока ЭДТ, работу пневматического вентиля ВЖТ1, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
5,"Блокировка жалюзи ЭДТ, отсутствие в УОИ сигнала об открытых жалюзи","Разбор схемы ЭДТ и включение режима ""Замещение"" или разбор тяги при нагрузке на тормозные резисторы
(Блокировка жалюзи ЭДТ)",Неисправны блокировки,"Проверить состояние жалюзи блока ЭДТ, работу пневматического вентиля ВЖТ1, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
5,"Блокировка жалюзи ЭДТ, отсутствие в УОИ сигнала об открытых жалюзи","Разбор схемы ЭДТ и включение режима ""Замещение"" или разбор тяги при нагрузке на тормозные резисторы
(Блокировка жалюзи ЭДТ)",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить состояние жалюзи блока ЭДТ, работу пневматического вентиля ВЖТ1, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
5,"Блокировка жалюзи ЭДТ, отсутствие в УОИ сигнала об открытых жалюзи","Разбор схемы ЭДТ и включение режима ""Замещение"" или разбор тяги при нагрузке на тормозные резисторы
(Блокировка жалюзи ЭДТ)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить состояние жалюзи блока ЭДТ, работу пневматического вентиля ВЖТ1, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ."
6,"Блокировка дверей аппаратной камеры, отсутствие в УОИ сигнала о закрытых дверях","Снятие/запрет возбуждения ТА
(Блокировка левой/правой двери аппаратной камеры)",Двери открыты.,"Проверить закрытие дверей, состояние контактов концевых выключателей."
6,"Блокировка дверей аппаратной камеры, отсутствие в УОИ сигнала о закрытых дверях","Снятие/запрет возбуждения ТА
(Блокировка левой/правой двери аппаратной камеры)",Неисправность концевых выключателей дверей.,"Проверить закрытие дверей, состояние контактов концевых выключателей."
6,"Блокировка дверей аппаратной камеры, отсутствие в УОИ сигнала о закрытых дверях","Снятие/запрет возбуждения ТА
(Блокировка левой/правой двери аппаратной камеры)",Нет +110В или обрыв провода от блокировок к УОИ,"Проверить закрытие дверей, состояние контактов концевых выключателей."
6,"Блокировка дверей аппаратной камеры, отсутствие в УОИ сигнала о закрытых дверях","Снятие/запрет возбуждения ТА
(Блокировка левой/правой двери аппаратной камеры)",Неисправность платы БОДД (ПВДД) УОИ,"Проверить закрытие дверей, состояние контактов концевых выключателей."
7,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/разбор тяги
(Будьте внимательны! Вас ждут дома)",ЭПК отключен,Проверить состояние ЭПК.
7,Отсутствие в УОИ сигнала о включенном ЭПК,"Запрет сбора/разбор тяги
(Будьте внимательны! Вас ждут дома)",Неисправен ЭПК,Проверить состояние ЭПК.
